,commune_id,commune_name,tranche,nb_foyers,revenue_reference,impot net,nb_foyers_imposes,revenue_reference_impose,nb_foyers_salaire,montant_salaire,nb_foyers_retraite,montant_retraite
,224,Puissalicon,Total,753,"21,385",788,313,"13,728",439,"13,432",326,"8,218"
,225,Puisserguier,0 à 10 000,504,"2,308",-55,n.c.,n.c.,202,"1,324",192,"1,651"
,225,Puisserguier,10 001 à 12 000,125,"1,371",-6,n.c.,n.c.,65,842,n.c.,n.c.
,225,Puisserguier,12 001 à 15 000,187,"2,512",-21,n.c.,n.c.,108,"1,666",82,"1,246"
,225,Puisserguier,15 001 à 20 000,326,"5,693",-13,88,"1,605",205,"4,041",129,"2,500"
,225,Puisserguier,20 001 à 30 000,353,"8,652",111,156,"3,802",220,"5,380",161,"3,837"
,225,Puisserguier,30 001 à 50 000,335,"12,656",385,229,"8,881",211,"7,643",175,"5,624"
,225,Puisserguier,50 001 à 100 000,167,"10,546",627,151,"9,487",115,"6,259",68,"2,922"
,225,Puisserguier,+ de 100 000,22,"3,846",558,n.c.,n.c.,14,998,n.c.,n.c.
,225,Puisserguier,Total,"2,019","47,585","1,588",660,"27,528","1,140","28,152",876,"19,063"
,226,Quarante,Total,"1,055","24,302",655,340,"13,532",584,"14,570",439,"9,475"
,227,Restinclières,0 à 10 000,146,677,-9,n.c.,n.c.,67,418,45,396
,227,Restinclières,10 001 à 12 000,41,455,-5,n.c.,n.c.,31,415,n.c.,n.c.
,227,Restinclières,12 001 à 15 000,85,"1,135",-8,n.c.,n.c.,69,"1,032",15,222
,227,Restinclières,15 001 à 20 000,172,"2,981",1,56,"1,015",135,"2,720",38,703
,227,Restinclières,20 001 à 30 000,235,"5,796",117,135,"3,291",184,"4,904",59,"1,401"
,227,Restinclières,30 001 à 50 000,313,"12,431",361,197,"7,910",252,"10,714",84,"2,797"
,227,Restinclières,50 001 à 100 000,272,"17,835","1,208",247,"16,317",230,"14,808",68,"3,191"
,227,Restinclières,+ de 100 000,43,"6,543","1,128",n.c.,n.c.,40,"4,665",n.c.,n.c.
,227,Restinclières,Total,"1,307","47,854","2,794",682,"35,109","1,008","39,677",327,"9,255"
,228,Rieussec,Total,53,"1,036",29,18,591,22,534,26,538
,229,Riols,Total,479,"11,031",379,180,"6,593",261,"5,959",216,"5,208"
,230,Les Rives,Total,93,"2,186",60,30,"1,313",54,"1,219",33,704
,231,Romiguières,Total,12,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,232,Roquebrun,Total,412,"8,956",219,125,"4,967",176,"3,826",197,"4,724"
,233,Roqueredonde,Total,147,"1,858",25,22,593,63,"1,126",50,674
,234,Roquessels,Total,76,"1,717",67,23,982,45,911,34,704
,235,Rosis,Total,212,"4,098",163,66,"2,422",96,"1,908",109,"2,256"
,236,Rouet,Total,40,"1,018",49,20,669,24,663,n.c.,n.c.
,237,Roujan,0 à 10 000,323,"1,381",-23,n.c.,n.c.,129,801,112,992
,237,Roujan,10 001 à 12 000,88,968,-5,n.c.,n.c.,50,584,43,n.c.
,237,Roujan,12 001 à 15 000,117,"1,570",-11,n.c.,n.c.,80,"1,226",n.c.,619
,237,Roujan,15 001 à 20 000,278,"4,850",-2,75,"1,368",178,"3,385",108,"2,143"
,237,Roujan,20 001 à 30 000,289,"7,003",95,144,"3,461",154,"3,958",148,"3,780"
,237,Roujan,30 001 à 50 000,307,"11,751",356,217,"8,491",168,"6,145",172,"5,793"
,237,Roujan,50 001 à 100 000,120,"7,654",600,n.c.,n.c.,81,"4,144",60,"2,854"
,237,Roujan,+ de 100 000,29,"5,881",901,n.c.,n.c.,19,"1,707",n.c.,n.c.
,237,Roujan,Total,"1,551","41,057","1,910",582,"26,375",859,"21,951",692,"17,781"
,238,Saint-André-de-Buèges,Total,39,728,23,13,472,18,417,18,330
,239,Saint-André-de-Sangonis,0 à 10 000,793,"3,561",-56,11,64,351,"2,529",239,"2,024"
,239,Saint-André-de-Sangonis,10 001 à 12 000,193,"2,129",-14,n.c.,n.c.,119,"1,485",81,"1,155"
,239,Saint-André-de-Sangonis,12 001 à 15 000,338,"4,563",-22,n.c.,n.c.,272,"4,314",77,"1,099"
